CP_OPNG_YMD,CP_DOC_NM,CP_ISSUED_SAR_NM,CP_ISSUED_NORTH_AREA_NM,CP_ISSUED_SOUTH_AREA_NM,CP_OBVP_NM,CP_OBVP_LAT,CP_OBVP_LON,CP_WTEM,CP_ISSUED_STEP_NM,CP_ISSUED_SITTN_NM,CP_ISSUED_YMD,CP_ISSUED_TM,CP_WTCH_YMD,CP_WTCH_TM
20100518,제3778호,동해 남부,감포,울기,감포,35.8056,129.5111,10.8,주의보,신규발령,20100518.0,100000.0,20100518.0,100000.0
20100518,제3778호,동해 중부,포항,울진,울진,36.99176,129.41278,8.7,주의보,신규발령,20100518.0,100000.0,20100518.0,100000.0
20100518,제3778호,동해 중부,포항,울진,영덕,36.5799,129.4138,10.8,주의보,신규발령,20100518.0,100000.0,20100518.0,100000.0
20100608,제3788호,동해 남부,감포,울기,감포,35.8056,129.5111,19.0,주의보,해제,20100608.0,110000.0,20100608.0,110000.0
20100608,제3788호,동해 중부,울진,포항,영덕,36.5799,129.4138,18.4,주의보,해제,20100608.0,110000.0,20100608.0,110000.0
20100608,제3788호,동해 중부,울진,포항,울진,36.99176,129.41278,13.3,주의보,발령,20100518.0,,20100608.0,100000.0
20100630,제3800호,동해 남부,울기,부산 기장,울기,35.4928,129.4472,17.7,주의보,신규발령,20100630.0,110000.0,20100630.0,110000.0
20100630,제3800호,동해 남부,울기,부산 기장,부산 기장,35.1872,129.2264,15.5,주의보,신규발령,20100630.0,110000.0,20100630.0,110000.0
20100630,제3800호,동해 남부,울기,부산 기장,거제,34.7264,128.6258,19.0,주의보,신규발령,20100630.0,110000.0,20100630.0,110000.0
20100707,제3803호,동해 남부,울기,부산 기장,울기,35.4928,129.4472,19.7,주의보,발령,20100630.0,,20100707.0,100000.0
20100707,제3803호,동해 남부,울기,부산 기장,부산 기장,35.1872,129.2264,18.0,주의보,발령,20100630.0,,20100707.0,100000.0
20100707,제3803호,동해 남부,울기,부산 기장,거제,34.7264,128.6258,16.7,주의보,발령,20100630.0,,20100707.0,100000.0
20100712,제3804호,동해 중부,포항,울진,울진,36.99176,129.41278,20.6,주의보,해제,20100712.0,110000.0,20100712.0,100000.0
20100712,제3804호,동해 남부,울기,부산 기장,울기,35.4928,129.4472,21.5,주의보,해제,20100712.0,110000.0,20100712.0,100000.0
20100712,제3804호,동해 남부,울기,부산 기장,부산 기장,35.1872,129.2264,21.0,주의보,해제,20100712.0,110000.0,20100712.0,100000.0
20100712,제3804호,동해 남부,울기,부산 기장,거제,34.7264,128.6258,16.3,주의보,발령,20100630.0,,20100712.0,100000.0
20100720,제3811호,동해 중부,울진,울기,울진,36.99176,129.41278,9.6,주의보,신규발령,20100720.0,110000.0,20100720.0,100000.0
20100720,제3811호,동해 남부,울진,울기,호미곶,36.0764,129.575,17.9,주의보,신규발령,20100720.0,110000.0,20100720.0,100000.0
20100720,제3811호,동해 남부,울진,울기,울기,35.4928,129.4472,17.5,주의보,신규발령,20100720.0,110000.0,20100720.0,100000.0
20100722,제3812호,동해 중부,울진,울기,울진,36.99176,129.41278,8.1,경보,대체발령,20100722.0,110000.0,20100722.0,100000.0
20100722,제3812호,동해 중부,울진,울기,죽변,37.0578,129.4333,14.6,경보,대체발령,20100722.0,110000.0,20100722.0,100000.0
20100722,제3812호,강원 연안,울진,울기,동해시,37.5494,129.1208,13.9,경보,대체발령,20100722.0,110000.0,20100722.0,100000.0
20100722,제3812호,동해 남부,울진,울기,울기,35.4928,129.4472,17.2,주의보,발령,20100720.0,,20100722.0,100000.0
20100727,제3815호,동해 중부,울진,울기,죽변,37.0578,129.4333,19.2,경보,해제,20100727.0,110000.0,20100727.0,100000.0
20100727,제3815호,강원 연안,,,동해시,37.5494,129.1208,20.0,경보,해제,20100727.0,110000.0,20100727.0,100000.0
20100727,제3815호,동해 남부,,,울기,35.4928,129.4472,21.8,주의보,해제,20100727.0,110000.0,20100727.0,100000.0
20100727,제3815호,동해 중부,포항,울진,울진,36.99176,129.41278,13.5,경보,발령,20100722.0,,20100727.0,100000.0
20100727,제3815호,동해 남부,,,거제,34.7264,128.6258,17.4,주의보,발령,20100722.0,,20100727.0,100000.0
20100802,제3818호,동해 중부,포항,울진,울진,36.99176,129.41278,19.4,경보,해제,20100802.0,110000.0,20100802.0,100000.0
20100802,제3818호,동해 남부,,,울기,35.4928,129.4472,14.9,경보,신규발령,20100802.0,110000.0,20100802.0,100000.0
20100802,제3818호,동해 남부,,,부산 기장,35.1872,129.2264,15.1,경보,신규발령,20100802.0,110000.0,20100802.0,100000.0
20100802,제3818호,동해 남부,,,거제,34.7264,128.6258,,주의보,발령,20100722.0,,20100802.0,100000.0
20100805,제3821호,동해 남부,,,부산 기장,35.1872,129.2264,23.5,경보,해제,20100805.0,110000.0,20100805.0,100000.0
20100805,제3821호,동해 남부,,,거제,34.7264,128.6258,22.0,주의보,해제,20100805.0,110000.0,20100805.0,100000.0
20100805,제3821호,동해 중부,포항,울진,울진,36.99176,129.41278,17.9,주의보,신규발령,20100805.0,110000.0,20100805.0,100000.0
20100805,제3821호,동해 남부,,,울기,35.4928,129.4472,14.5,경보,발령,20100802.0,,20100805.0,100000.0
20100810,제3824호,동해 남부,,,울기,35.4928,129.4472,20.0,경보,해제,20100810.0,110000.0,20100810.0,100000.0
20100810,제3824호,동해 중부,포항,울진,울진,36.99176,129.41278,14.8,주의보,발령,20100805.0,,20100810.0,100000.0
20100813,제3825호,동해 남부,,,호미곶,36.0764,129.575,17.1,주의보,신규발령,20100813.0,110000.0,20100813.0,100000.0
20100813,제3825호,동해 남부,,,부산 기장,35.1872,129.2264,16.5,주의보,신규발령,20100813.0,110000.0,20100813.0,100000.0
20100813,제3825호,동해 중부,포항,울진,울진,36.99176,129.41278,16.3,주의보,발령,20100805.0,,20100813.0,100000.0
20100816,제3827호,동해 남부,감포,울기,감포,35.8056,129.5111,14.9,주의보,신규발령,20100816.0,110000.0,20100816.0,100000.0
20100816,제3827호,동해 남부,감포,울기,울기,35.4928,129.4472,14.6,주의보,신규발령,20100816.0,110000.0,20100816.0,100000.0
20100816,제3827호,동해 중부,포항,울진,울진,36.99176,129.41278,15.0,주의보,발령,20100805.0,,20100816.0,100000.0
20100816,제3827호,동해 남부,,,호미곶,36.0764,129.575,18.2,주의보,발령,20100813.0,,20100816.0,100000.0
20100816,제3827호,동해 남부,,,부산 기장,35.1872,129.2264,13.3,주의보,발령,20100813.0,,20100816.0,100000.0
20100820,제3830호,동해 남부,감포,부산 기장,감포,35.8056,129.5111,21.8,주의보,해제,20100820.0,110000.0,20100820.0,100000.0
20100820,제3830호,동해 남부,감포,부산 기장,부산 기장,35.1872,129.2264,24.0,주의보,해제,20100820.0,110000.0,20100820.0,100000.0
20100820,제3830호,동해 중부,포항,울진,울진,36.99176,129.41278,16.3,주의보,발령,20100805.0,,20100820.0,100000.0
20100820,제3830호,동해 남부,,,호미곶,36.0764,129.575,18.5,주의보,발령,20100813.0,,20100820.0,100000.0
20100820,제3830호,동해 남부,,,울기,35.4928,129.4472,18.6,주의보,발령,20100816.0,,20100820.0,100000.0
20100825,제3837호,동해 남부,감포,울기,울기,35.4928,129.4472,21.0,주의보,해제,20100825.0,110000.0,20100825.0,100000.0
20100825,제3837호,동해 중부,포항,울진,울진,36.99176,129.41278,19.5,주의보,발령,20100805.0,,20100825.0,100000.0
20100825,제3837호,동해 남부,,,호미곶,36.0764,129.575,19.2,주의보,발령,20100813.0,,20100825.0,100000.0
20100827,제3838호,동해 중부,울진 후포,감포,울진,36.99176,129.41278,22.7,주의보,해제,20100827.0,110000.0,20100827.0,100000.0
20100827,제3838호,동해 남부,,,호미곶,36.0764,129.575,18.8,주의보,발령,20100813.0,,20100827.0,100000.0
20100920,제3850호,동해 남부,호미곶,감포,호미곶,36.0764,129.575,23.1,주의보,해제,20100813.0,110000.0,20100916.0,100000.0
20110524,제3958호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,16.9,주의보,신규발령,20110524.0,100000.0,20110524.0,100000.0
20110524,제3958호,동해 남부,포항,부산 기장,감포,35.8056,129.5111,14.0,주의보,신규발령,20110524.0,100000.0,20110524.0,100000.0
20110524,제3958호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,9.0,주의보,신규발령,20110524.0,100000.0,20110524.0,100000.0
20110524,제3958호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,15.5,주의보,신규발령,20110524.0,100000.0,20110524.0,100000.0
20110601,제3962호,동해 남부,울기,울기,울기,35.4928,129.4472,15.6,주의보,해제,20110601.0,160000.0,20110601.0,100000.0
20110609,제3965호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,17.6,주의보,발령,20110524.0,,20110609.0,100000.0
20110609,제3965호,동해 남부,포항,부산 기장,감포,35.8056,129.5111,15.8,주의보,발령,20110524.0,,20110609.0,100000.0
20110609,제3965호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,13.8,주의보,신규발령,20110609.0,170000.0,20110609.0,100000.0
20110609,제3965호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,17.0,주의보,발령,20110524.0,,20110609.0,100000.0
20110621,제3970호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,18.4,주의보,해제,20110621.0,130000.0,20110621.0,100000.0
20110621,제3971호,동해 중부,주문진,영덕,주문진,37.8333,128.8944,16.4,,,,,20110621.0,100000.0
20110621,제3971호,동해 중부,주문진,영덕,울진,36.99176,129.41278,12.3,주의보,신규발령,20110621.0,140000.0,20110621.0,100000.0
20110621,제3971호,동해 중부,주문진,영덕,영덕,36.5799,129.4138,20.0,,,,,20110621.0,100000.0
20110621,제3971호,동해 남부,포항,호미곶,호미곶,36.0764,129.575,18.3,,,,,20110621.0,100000.0
20110621,제3971호,동해 남부,포항,호미곶,포항,36.0472,129.4361,20.1,주의보,발령,20110524.0,,20110621.0,100000.0
20110624,제3972호,동해 남부,포항,부산 기장,호미곶,36.0764,129.575,20.0,,,,,20110624.0,100000.0
20110624,제3972호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,18.0,주의보,발령,20110524.0,,20110624.0,100000.0
20110624,제3972호,동해 남부,포항,부산 기장,감포,35.8056,129.5111,9.8,경보,신규발령,20110624.0,140000.0,20110624.0,100000.0
20110624,제3972호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,7.5,경보,신규발령,20110624.0,140000.0,20110624.0,100000.0
20110624,제3972호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,14.4,주의보,신규발령,20110624.0,140000.0,20110624.0,100000.0
20110705,제3982호,동해 남부,포항,부산 기장,호미곶,36.0764,129.575,17.2,,,,,20110705.0,100000.0
20110705,제3982호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,18.9,주의보,발령,20110524.0,,20110705.0,100000.0
20110705,제3982호,동해 남부,포항,부산 기장,감포,35.8056,129.5111,17.5,주의보,대체발령,20110705.0,140000.0,20110705.0,100000.0
20110705,제3982호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,12.1,경보,발령,20110624.0,,20110705.0,100000.0
20110705,제3982호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,12.8,경보,대체발령,20110705.0,140000.0,20110705.0,100000.0
20110705,제3982호,남해 연안,거제,여수,거제,34.7264,128.6258,15.0,주의보,신규발령,20110705.0,140000.0,20110705.0,100000.0
20110705,제3982호,남해 연안,거제,여수,산양 통영,34.7875,128.4333,20.2,주의보,신규발령,20110705.0,140000.0,20110705.0,100000.0
20110705,제3982호,남해 연안,거제,여수,여수 화양,34.6301,127.6244,21.4,주의보,신규발령,20110705.0,140000.0,20110705.0,100000.0
20110713,제3989호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,22.9,주의보,발령,20110524.0,,20110713.0,100000.0
20110713,제3989호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,14.4,주의보,신규발령,20110713.0,140000.0,20110713.0,100000.0
20110713,제3989호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,16.5,주의보,신규발령,20110713.0,140000.0,20110713.0,100000.0
20110713,제3989호,남해 연안,거제,여수,거제,34.7264,128.6258,19.2,주의보,해제,20110713.0,140000.0,20110713.0,100000.0
20110713,제3989호,남해 연안,거제,여수,산양 통영,34.7875,128.4333,21.4,주의보,해제,20110713.0,140000.0,20110713.0,100000.0
20110713,제3989호,남해 연안,거제,여수,여수 화양,34.6301,127.6244,23.6,주의보,해제,20110713.0,140000.0,20110713.0,100000.0
20110714,제3990호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,18.9,주의보,발령,20110524.0,,20110714.0,100000.0
20110714,제3990호,동해 남부,포항,부산 기장,감포,35.8056,129.5111,15.0,주의보,발령,20110705.0,,20110714.0,100000.0
20110714,제3990호,동해 남부,포항,부산 기장,울기,35.4928,129.4472,14.4,주의보,발령,20110713.0,,20110714.0,100000.0
20110714,제3990호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,17.6,주의보,해제,20110713.0,160000.0,20110714.0,100000.0
20110714,제3990호,동해 남부,포항,부산 기장,부산 오륙도,35.0833,129.032,18.0,,,,,20110714.0,100000.0
20110720,제3993호,동해 중부,울진 후포,감포,울진,36.99176,129.41278,19.9,주의보,해제,20110720.0,140000.0,20110720.0,100000.0
20110720,제3993호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,20.1,주의보,발령,20110524.0,,20110720.0,100000.0
20110720,제3993호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,20.3,주의보,,,,20110720.0,100000.0
20110720,제3993호,남해 연안,거제,여수,거제,34.7264,128.6258,22.0,,,,,20110720.0,100000.0
20110810,제4000호,동해 중부,울진 후포,감포,울진,36.99176,129.41278,16.1,주의보,신규발령,20110810.0,140000.0,20110810.0,100000.0
20110810,제4000호,동해 남부,호미곶,부산 기장,호미곶,36.0764,129.575,23.2,,,,,20110810.0,100000.0
20110810,제4000호,동해 남부,호미곶,부산 기장,포항,36.0472,129.4361,23.0,주의보,발령,20110524.0,,20110810.0,100000.0
20110810,제4000호,동해 남부,호미곶,부산 기장,울기,35.4928,129.4472,14.0,주의보,신규발령,20110810.0,140000.0,20110810.0,100000.0
20110810,제4000호,동해 남부,호미곶,부산 기장,부산 기장,35.1872,129.2264,17.3,주의보,신규발령,20110810.0,140000.0,20110810.0,100000.0
20110810,제4000호,남해 연안,거제,여수,거제,34.7264,128.6258,22.5,,,,,20110810.0,100000.0
20110819,제4003호,동해 중부,주문진,영덕,주문진,37.8333,128.8944,24.3,,,,,20110819.0,100000.0
20110819,제4003호,동해 중부,주문진,영덕,울진,36.99176,129.41278,21.3,주의보,해제,20110819.0,140000.0,20110819.0,100000.0
20110819,제4003호,동해 중부,주문진,영덕,영덕,36.5799,129.4138,22.5,,,,,20110819.0,100000.0
20110819,제4003호,동해 남부,호미곶,부산 기장,호미곶,36.0764,129.575,20.9,,,,,20110819.0,100000.0
20110819,제4003호,동해 남부,호미곶,부산 기장,포항,36.0472,129.4361,21.1,,,,,20110819.0,100000.0
20110819,제4003호,동해 남부,호미곶,부산 기장,울기,35.4928,129.4472,13.7,주의보,발령,20110810.0,,20110819.0,100000.0
20110819,제4003호,동해 남부,호미곶,부산 기장,부산 기장,35.1872,129.2264,14.6,주의보,발령,20110810.0,,20110819.0,100000.0
20110824,제4006호,동해 남부,울기,부산 기장,울기,35.4928,129.4472,22.0,주의보,해제,20110824.0,,20110824.0,110000.0
20110824,제4006호,동해 남부,울기,부산 기장,부산 기장,35.1872,129.2264,22.5,주의보,해제,20110824.0,,20110824.0,110000.0
20120605,제4119호,동해 중부,울진,영덕,울진,36.99176,129.41278,11.1,주의보,신규발령,20120605.0,140000.0,20120605.0,100000.0
20120605,제4119호,동해 중부,울진,영덕,영덕,36.5799,129.4138,20.0,,,,,20120605.0,100000.0
20120605,제4119호,동해 남부,포항,호미곶,호미곶,36.0764,129.575,17.8,,,,,20120605.0,100000.0
20120605,제4119호,동해 남부,포항,호미곶,포항,36.0472,129.4361,21.5,,,,,20120605.0,100000.0
20120612,제4122호,동해 중부,삼척,영덕,삼척,37.3023,129.3127,9.8,주의보,신규발령,20120612.0,140000.0,20120612.0,100000.0
20120612,제4122호,동해 중부,삼척,영덕,울진,36.99176,129.41278,12.6,주의보,발령,20120605.0,,20120612.0,100000.0
20120612,제4122호,동해 중부,삼척,영덕,영덕,36.5799,129.4138,19.0,,,,,20120612.0,100000.0
20120612,제4122호,동해 남부,포항,호미곶,호미곶,36.0764,129.575,17.1,,,,,20120612.0,100000.0
20120612,제4122호,동해 남부,포항,호미곶,포항,36.0472,129.4361,20.2,,,,,20120612.0,100000.0
20120615,제4125호,동해 중부,삼척,영덕,삼척,37.3023,129.3127,15.8,주의보,해제,20120615.0,150000.0,20120615.0,100000.0
20120615,제4125호,동해 중부,삼척,영덕,울진,36.99176,129.41278,18.1,주의보,해제,20120615.0,150000.0,20120615.0,100000.0
20120615,제4125호,동해 중부,삼척,영덕,영덕,36.5799,129.4138,19.5,,,,,20120615.0,100000.0
20120615,제4125호,동해 남부,포항,호미곶,호미곶,36.0764,129.575,19.0,,,,,20120615.0,100000.0
20120615,제4125호,동해 남부,포항,호미곶,포항,36.0472,129.4361,18.8,,,,,20120615.0,100000.0
20120702,제4132호,동해 중부,울진,영덕,울진,36.99176,129.41278,14.3,주의보,신규발령,20120702.0,140000.0,20120702.0,100000.0
20120703,제4133호,동해 중부,울진,영덕,영덕,36.5799,129.4138,22.1,,,,,20120702.0,100000.0
20120704,제4134호,동해 남부,포항,호미곶,호미곶,36.0764,129.575,20.9,,,,,20120702.0,100000.0
20120705,제4135호,동해 남부,포항,호미곶,포항,36.0472,129.4361,21.6,,,,,20120702.0,100000.0
20120706,제4136호,동해 중부,주문진,영덕,주문진,37.8333,128.8944,21.0,,,,,20120706.0,100000.0
20120706,제4136호,동해 중부,주문진,영덕,울진,36.99176,129.41278,16.1,주의보,발령,20120702.0,,20120706.0,100000.0
20120706,제4136호,동해 중부,주문진,영덕,영덕,36.5799,129.4138,16.0,주의보,신규발령,20120706.0,140000.0,20120706.0,100000.0
20120706,제4136호,동해 남부,포항,부산 기장,포항,36.0472,129.4361,19.8,,,,,20120706.0,100000.0
20120706,제4136호,동해 남부,포항,부산 기장,부산 기장,35.1872,129.2264,16.1,주의보,신규발령,20120706.0,140000.0,20120706.0,100000.0
